,factor_00,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31
sh600028,0.011984074511366086,0.05061217288146168,0.003142090923981027,0.001436014441467731,0.00023614315324220063,0.0010383703014001605,0.21486511924635776,0.0004890409405596208,0.003841752610243471,0.005874179914580692,0.0006528245432476659,0.011207721871013088,0.0016738779075246703,0.004049235262478353,0.0022936622841508094,0.0011500319966740381,0.025987658581937093,0.0005785165772568137,0.0004415146082669648,0.0018367054413605856,0.002142503100648129,0.033471983713443,0.007166351549501066,0.003496461100387164,0.0028829481705938157,0.5878650875004127,0.014443342094277735,0.000704558203626566,0.0008130584143017169,0.0011458667098045107,0.001209841395773511,0.0012672919919181204
sh600029,0.006073274434665401,0.05302337929944573,0.003300180795039072,0.0019333507872516553,0.00030787005095673256,0.002652674823885654,0.20760249301984013,0.00102608697986831,0.0059858877618111945,0.005434650935608153,0.0009467116405159068,0.014262456648936543,0.0015795508166554122,0.002398272145543577,0.002241374994345931,0.001511087308676087,0.021620531753781563,0.0013909740677876276,0.0005420681117924902,0.003913887662782569,0.0037118791525119024,0.0485197570583125,0.009458427392602291,0.005710867935717641,0.0019871134232433544,0.565622178621864,0.018478219956465442,0.0009522209997345323,0.0010474372462152136,0.002673301946551113,0.0020312303825365395,0.002060604157426771
sh600030,0.007818691565794806,0.08323273082429919,0.0036671914484455418,0.00368489113535999,0.0006859644483812879,0.0014983615471447405,0.18182975878374708,0.001461918854534623,0.005393697949828572,0.008288918537188198,0.0013797562562551287,0.007075388955733829,0.003001587571800833,0.0019422198431511802,0.003866524975060217,0.0008897378300685728,0.019782380676299272,0.0018570768626718832,0.0013739500262564244,0.007435886529250544,0.00684538238398581,0.07354129567236802,0.013348855613027679,0.005378706526470672,0.0013772478588970328,0.5088259114348263,0.03339768179224899,0.001031397457279464,0.0019717182582915105,0.0017402589581572356,0.0019356678326143122,0.004439241056233249
sh600031,0.006965088237945998,0.04567652711912938,0.0036475150848057788,0.0029736777063435003,0.0005062146786346104,0.0017371506418028895,0.196675796783693,0.0013475912311117437,0.005186375271010085,0.0060290038383221355,0.0009689705758424573,0.012008229192806483,0.0016738715531939407,0.0019507287979087032,0.0027135015931515696,0.0012124295465102803,0.024407038431022952,0.002479742025149115,0.0008792289281838433,0.004610572761698776,0.009497796291013372,0.05365748512953479,0.005830938401644109,0.007126049521172349,0.001599112526291424,0.5682095632287595,0.021617977308736054,0.0008722507007227554,0.002198488236027748,0.001775498240414245,0.0018930439413690726,0.002072538423471104
sh600033,0.01024910369130096,0.04336653446355725,0.0021530374448879576,0.0014118911274383253,0.00016596476159193613,0.0008977491041904733,0.2398953075293715,0.0005044095369216944,0.004969390332908225,0.00526790995086258,0.0005224471458105714,0.00757392176070147,0.001351765426295605,0.0015611344468349944,0.001854891605988385,0.0006783974013437127,0.022595417739952654,0.00028542952582632,0.0005262319288772895,0.005514714987033076,0.0013931929332351358,0.03730876618964605,0.00826528050256557,0.0017605087447724445,0.0013405488391392947,0.5708776845364173,0.02270048960563636,0.0006363972140756712,0.0007758282093523893,0.0009611594348710739,0.0013564651449933047,0.0012780265976874003
sh600035,0.007655937556739558,0.037649271762746996,0.003566230312530227,0.0017707204069009209,0.00047980874679887634,0.0011797296414032899,0.20005317538757864,0.0005580752409739149,0.0039242578455168375,0.0035890176674473733,0.0004849743700269872,0.008262248939466987,0.001578361843531218,0.0028764091646325102,0.0020689393408778144,0.0013458977551348984,0.0265961876364239,0.0008803123193775389,0.00044223983567073067,0.0034137846609031317,0.0018981816084395042,0.0241213795691767,0.006991317433907588,0.0024644814773003712,0.0017661420712403728,0.6348401028653375,0.01376033219209673,0.0006826323348624985,0.0008832571773461344,0.0016147943954231833,0.0018941932921770026,0.0007076091092484609
sh600036,0.0041935937291951554,0.05779517729100024,0.0023000799365967568,0.0018650950799456434,0.0002669281585915461,0.00099505877188941,0.1583272928460323,0.0006508799264899538,0.004061226598370657,0.005004712109305678,0.0009728401355539388,0.014626869720982632,0.0011449498525993235,0.0020198866143558646,0.0028129669339697263,0.0008093414735722308,0.031117022316541156,0.0011512806294961748,0.00046552288467795395,0.003411581441079681,0.0064796195839609385,0.03776083474644627,0.009532028531028585,0.011464499494320435,0.0024494312659104527,0.619645531373758,0.013528452892015218,0.0006742329350402934,0.001018307727954442,0.0009738905035064482,0.001132584640577959,0.0013482800520786002
sh600037,0.006747229723123282,0.041820631313024784,0.004138978820406171,0.003395954458592343,0.0004533288881932383,0.0024788216820576256,0.26586506163844587,0.00121932967989381,0.005328541380775263,0.004680340463014225,0.0007984776149837283,0.010695567326634068,0.0025614775972051932,0.003129518414599112,0.0023984773723635094,0.0014423463480642681,0.021024678425811485,0.0026202040259596156,0.0006309903486286919,0.005464350132485537,0.009906786800784969,0.04670301531885889,0.003673270562370292,0.003319410530241407,0.0019401219095531801,0.5065789949127572,0.031088176267260327,0.0009358167061674226,0.001001772841076281,0.00197780235303846,0.0030416562251134984,0.0029388662223002703
sh600038,0.005793914174517573,0.06407382388914039,0.004941999015060279,0.004376271400727352,0.0006282720559655252,0.0022424661834275408,0.30946803843095666,0.0013890016919197532,0.005015190455843283,0.00621487713779559,0.001120535297471336,0.014984656297935103,0.0032304707095595093,0.0036102838838676155,0.0029276891260034965,0.001958341843919895,0.02381571115511249,0.004739061204116498,0.0008066274589044405,0.004882562070177941,0.009871840675102838,0.05274239798863152,0.005766572871958022,0.006053465892918215,0.001779702244252153,0.41397437874968657,0.033304974571038426,0.0008496550808395055,0.001467093754796228,0.002087918671905727,0.0024801343014174333,0.0034020714208500076
sh600048,0.00475220190960127,0.04694673531634195,0.002846953444004998,0.0037050378791624672,0.0008408795770345818,0.0022701467690344084,0.28597230946313434,0.0016377402797107864,0.006289899364571367,0.005114575873448882,0.0010499636037135836,0.01867114070032199,0.002764664387960526,0.002668655074569036,0.0027116208685435067,0.0021587361546269394,0.02107585509640013,0.008865386811101942,0.000644587978719317,0.004840248198816511,0.017902717923111742,0.058824233393892165,0.005050930540948263,0.008023036933209854,0.002153234858336276,0.44319915499176676,0.025822062189092304,0.0010200892057559347,0.004106435975385889,0.0023028435452546233,0.0023945628128596917,0.003373358453999629
